         3006626 function calls (2810665 primitive calls) in 18.466 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9164    3.091    0.000    6.451    0.001 kmc_classes.py:214(rate)
        3    2.974    0.991    2.974    0.991 {method 'read' of '_io.BufferedReader' objects}
     9164    1.700    0.000   12.727    0.001 <string>:52(decision)
340665/156355    1.262    0.000    6.888    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    45930    1.151    0.000    1.151    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    36806    0.730    0.000    3.764    0.000 type_check.py:367(nan_to_num)
    74144    0.646    0.000    0.646    0.000 {built-in method numpy.array}
    36806    0.520    0.000    0.520    0.000 ufunclike.py:127(isposinf)
     9164    0.381    0.000    0.526    0.000 kmc_classes.py:136(raios)
      328    0.335    0.001    0.335    0.001 {method 'read' of '_io.FileIO' objects}
    36806    0.325    0.000    0.325    0.000 ufunclike.py:198(isneginf)
       50    0.279    0.006   13.346    0.267 <string>:131(step)
    45930    0.271    0.000    1.538    0.000 fromnumeric.py:70(_wrapreduction)
    36806    0.267    0.000    0.561    0.000 type_check.py:357(_getmaxmin)
    18328    0.211    0.000    0.211    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
    45870    0.181    0.000    1.756    0.000 fromnumeric.py:2105(sum)
     1656    0.180    0.000    0.180    0.000 {built-in method posix.stat}
   110420    0.161    0.000    0.821    0.000 <__array_function__ internals>:2(copyto)
     9164    0.152    0.000    0.224    0.000 <string>:35(anni_general)
    73612    0.137    0.000    0.982    0.000 ufunclike.py:48(func)
    73612    0.134    0.000    0.156    0.000 ufunclike.py:22(func)
        5    0.123    0.025    0.123    0.025 {built-in method posix.read}
38425/37335    0.118    0.000    4.328    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
      328    0.117    0.000    0.452    0.001 <frozen importlib._bootstrap_external>:830(get_data)
    36806    0.112    0.000    0.132    0.000 getlimits.py:366(__new__)
      326    0.109    0.000    0.109    0.000 {built-in method marshal.loads}
    34/33    0.106    0.003    0.121    0.004 {built-in method _imp.create_dynamic}
    18330    0.104    0.000    0.104    0.000 {built-in method numpy.zeros}
    45870    0.089    0.000    1.933    0.000 <__array_function__ internals>:2(sum)
    36806    0.084    0.000    3.953    0.000 <__array_function__ internals>:2(nan_to_num)
     9164    0.084    0.000    0.276    0.000 fromnumeric.py:39(_wrapit)
    36706    0.083    0.000    0.100    0.000 random.py:371(uniform)
    59838    0.080    0.000    0.080    0.000 {built-in method builtins.getattr}
    36806    0.077    0.000    0.826    0.000 <__array_function__ internals>:2(isposinf)
    18328    0.074    0.000    0.533    0.000 fromnumeric.py:52(_wrapfunc)
    78640    0.069    0.000    0.069    0.000 {method 'get' of 'dict' objects}
    45930    0.064    0.000    0.064    0.000 fromnumeric.py:71(<dictcomp>)
113809/113806    0.060    0.000    0.064    0.000 {built-in method builtins.isinstance}
    36806    0.058    0.000    0.551    0.000 <__array_function__ internals>:2(isneginf)
1321/1223    0.054    0.000    0.161    0.000 {built-in method builtins.__build_class__}
    18328    0.050    0.000    0.584    0.000 fromnumeric.py:2418(cumsum)
    79968    0.049    0.000    0.049    0.000 {built-in method builtins.hasattr}
     2491    0.049    0.000    0.083    0.000 inspect.py:614(cleandoc)
      317    0.045    0.000    0.045    0.000 {built-in method builtins.compile}
    682/1    0.044    0.000   18.471   18.471 {built-in method builtins.exec}
    18328    0.040    0.000    0.322    0.000 <__array_function__ internals>:2(copy)
    18328    0.040    0.000    0.132    0.000 <__array_function__ internals>:2(where)
    18328    0.039    0.000    0.659    0.000 <__array_function__ internals>:2(cumsum)
    18328    0.038    0.000    0.270    0.000 <__array_function__ internals>:2(inner)
        5    0.037    0.007    0.038    0.008 {method 'read' of '_io.TextIOWrapper' objects}
     9164    0.034    0.000    0.034    0.000 kmc_classes.py:138(<listcomp>)
   110420    0.031    0.000    0.031    0.000 multiarray.py:1043(copyto)
        2    0.029    0.015    0.031    0.016 morphology.py:13(read_lattice)
113708/113206    0.029    0.000    0.029    0.000 {built-in method builtins.len}
74732/74671    0.029    0.000    0.032    0.000 {built-in method builtins.issubclass}
   120226    0.025    0.000    0.025    0.000 {method 'append' of 'list' objects}
    30315    0.024    0.000    0.024    0.000 {built-in method builtins.min}
    46811    0.024    0.000    0.024    0.000 {method 'items' of 'dict' objects}
     4000    0.024    0.000    0.024    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
        1    0.023    0.023    0.037    0.037 uuid.py:45(<module>)
